players,endpoint,latency
0,GAME_LIST,786
0,JOIN,634
0,STATE_GET,127
0,PLAY,446
0,PLAY,375
0,PUSH_MESSAGE,1569502704967
0,PUSH_MESSAGE,1569502704970
0,PUSH_MESSAGE,1569502704972
0,PLAY,122
0,PLAY,301
0,PUSH_MESSAGE,1569502705364
0,PUSH_MESSAGE,1569502705468
0,PLAY,414
0,PUSH_MESSAGE,1569502705670
0,PLAY,126
0,PUSH_MESSAGE,1569502706369
0,PLAY,331
0,PUSH_MESSAGE,1569502706217
0,PLAY,324
0,PUSH_MESSAGE,1569502706539
0,PUSH_MESSAGE,1569502706736
0,PLAY,462
0,PUSH_MESSAGE,1569502706880
0,PUSH_MESSAGE,1569502707082
0,PLAY,293
0,PUSH_MESSAGE,1569502707338
0,PLAY,126
0,PLAY,321
0,PUSH_MESSAGE,1569502707757
0,PLAY,177
0,PUSH_MESSAGE,1569502708069
0,PLAY,700
0,PUSH_MESSAGE,1569502708245
0,PUSH_MESSAGE,1569502708561
0,PLAY,497
0,PUSH_MESSAGE,1569502708947
0,PLAY,297
0,PUSH_MESSAGE,1569502709549
0,PLAY,304
0,PLAY,397
0,PUSH_MESSAGE,1569502710046
0,PLAY,467
0,PUSH_MESSAGE,1569502710443
0,PLAY,601
0,PUSH_MESSAGE,1569502710917
0,PUSH_MESSAGE,1569502711133
0,PLAY,262
0,PUSH_MESSAGE,1569502711865
0,PLAY,401
0,PLAY,228
0,PUSH_MESSAGE,1569502712180
0,PLAY,192
0,PUSH_MESSAGE,1569502712414
0,PLAY,364
0,PUSH_MESSAGE,1569502712599
0,PUSH_MESSAGE,1569502712811
0,PLAY,282
0,PUSH_MESSAGE,1569502713165
0,PLAY,461
0,PUSH_MESSAGE,1569502713248
0,PLAY,155
0,PLAY,380
